,cafe_id,message,point1
2503,27199017,음료 맛없음. 근데 너무 비쌈. 내부에 앉을자리 너무 부족함. 야외로 나가라고해서 갔더니 의자가 흠뻑 젖어있는데 모르고 앉았다가 바지 다젖음. 정원에 물주면서 다젖었는데 미리 말도 안해줌. 의자에 페인트 칠해져있어 젖어있어도 잘 안보이니 무조건 한번닦고 앉아야함. 입장료 3천원 내느니 다른 공원에 가겠음,0
2504,27199017,"매우 상업적..! 음료는 자리값,사진값이다. 산 타고 좀 올라가야하는데 중간에 길이 일반통행으로 되어있어 차끼리 마주치면 매우 곤란함. 그러나 핑크뮬리가 생각보다 많고 너무예뻐서 가을엔 한 번 쯤 가볼만하다.",1
2505,27199017,돈주고 불친절 사는곳..ㅎ,0
2506,27199017,인테리어나 커피나 계절별 포토존이나 뭐 하나빠질게 없네요.최고예요.ㅎ,1
2507,27199017,"커피에 신맛이 강한데 대부분이 평하듯 별로인듯. 당근 케잌은 괜찮았다. 그릇이며 커피잔이 입구에서 화려하게 전시되어 있는데 헤렌드부터 로모노소프, 야들로 도자기 인형까지.. 사장님의 취향인지 꽤 오랜기간 모으신듯 보인다.. 
뒷뜰정원이 2천평? 여름엔 수국, 가을엔 핑크뮬리가 반겨 준다. 인근에 있다면 한번 정도 방문하는 건 나쁘지 않을듯. ",1
2508,27199017,"분위기와 정원 조경만으로도 다시 갈 의향이 있는 곳,
인스타 사진용이라 해도 좋다!
음료를 안 시키면 정원 입장료 3천원 내면 됩니다 :)
아메리카노는 그냥 평타예요~",1
2509,27199017,"음료는 기대하지 마세요...
그냥 인증샷 자리세 준다 생각하고 가세요
참고사항: 안시키면 사진도 못찍게 막아놓았어요",0
2510,27199017,다른거는 모르겠으나 카페모카는 진짜 맛 없어요 경치  한번 봤으면  2번은 갈일 없는 곳 ,0
2511,27199017,나는 사진을 꼭한장 남기고 싶다 하시면 가세요 아니면 불편한 의자에서 사람에 치이다 오는겁니다 정원은 확실히 잘꾸며놨어요 직원들도 친절한 편이구요,1
2512,27199017,저녁에 가기엔 조금 아쉬움... 사진 찍으실려면 낮에 강추,1
2513,27199017,"인테리어 와 정원 괜찮.
커피와 케이크 모두 맛 없음.
사진 찍기 위해 오는 곳.",0
2514,27199017,굳이 멀리서 찾아갈 정도는 아니네요. 들어가는 길과 나가는 길이 외길에 긴~ 편이니 내비 설정할 때 잘 확인하세요.,0
2515,27199017,정원을 보러오니 커피를 주는 곳 같아요. ,1
2516,27199017,사진 찍기 너무 좋은 애프터눈 티 세트 때문에 갔네요! 바다뷰 와 함께 즐기는 티타임 이 딱이예여 아메리카노도 디저트랑 먹기 딱 좋은!,1
2517,27199017,"편의점보다 맛없다는분은..미각을 잃으셨나..;; 
호주 워홀 갔을 때 카페에서 바리스타로 일했는데 그때가 저의 인생커피라고 생각하는데~ 거기만큼은 아니지만 분위기라던가 티세트라던가! 모든 분위기가 커피 맛도 맛있게 업그레이드 시켜주는 듯..ㅎㅎ?",1
2518,27199017,"에프터눈티세트 넘 이쁘고 맛있어요~ 날씨 맑은 제주도 와서  맛있는 것 먹고 ㅎㅎ
예쁜거 좋아하는 엄마가 이 카페 어떻게 찾았냐고~ 너무 좋다고 하시네요..
여름 되기전에 제주도 한번 더 올 예정인데 또 올거에욤 ㅎㅎ",1
2519,27199017,별 다섯 개 잘 안주는데 좋았어요. 말을 테마로 하는 카페였구요. 음료수도 뷰에 비하면 값이 합리적이였습니다. 라떼도 맛났구요. 티라미수도 맛났습니다. 2층 뷰는 환상적이였구요. 서귀포 가셔서 방문하시면 좋을 것 같습니다.,1
2520,27199017,"친구랑 지나다가 예뻐서 찾아간곳인데, 커피잔이랑 분위기가 넘 귀여워서 좋았고, 사장님이신지 알바생인지모르겠는데 굉장히 친절하셔서 기분좋게 놀다왔습니다^^",1
2521,27199017,"분위기도 좋고, 다양한 종류의 커피가 있어서 좋았어요 제주도 가시는 분들이면 추천해드립니다!!",1
2522,27199017,"카페 넘흐이쁘요 
직원분들 친절하시고 ㅎㅎㅎ 커피랑 케익 맛도 괜춘",1
2523,27199017,"1. 커피가 맹물이에요.
2. 밀크티 용기와 맛 뭔가요.
3. 직원 불친절해요.
4. 내부 분위기 자체가 허접해요.
지인분 추천으로 갔는데 지인 때릴 뻔 했어요.
그냥 맛없고 비싼 허접한 카페에요.
편의점 커피가 더 맛있어요.",0
2524,27199017,"좋아요... 당근케익 맛남^^
1인1음료 ㅋㅋ 정원 입장료 대신인 듯",1
2525,27199017,수국 예뻐요. 조경 멋있어요. 커피 맛없어요.,1
2526,27199017,"입구에서 주문받는 사람 불친절함
주문을 먼저 받아놓고는 1층은 머그잔 2층은 일회용 얘기만 해서
1층이요 하고 일행이 결제중일때 자리보니까 1층 자리없길래 없다니까
그래서 아까 자리보고 오랬잖아요(상대 무안하게 하는 표정시전)
?!!?? 언제 그랬는지..?
애초에 1층이나 2층 먼저 둘러보시고 자리 먼저 잡고 주문하세요가 순서아님?? 장사 잘 되서 배가 부른가봐요^^
받고 한라봉에이드가 종이컵 반컵수준 되려나 ",0
2528,27199017,"야외정원에서 마실거라 테이크아웃잔이지만 커피잔도 너무 이뻤고(전시용) 정원이 너무 잘꾸며져 있어서 놀랐다. 
담에 핑크뮬리가 9월에 이쁘다니 그때 또 들러야지~^^*",1
2529,27199017,"카페뿐 아니라 마당은
제주도 각종 수목원 요약판
처마밑에 제비도 있어요",1
2530,27199017,예전에 들렀을때 검색했는데 괜찮은거같아서 인스타도 찾아보고해서 갔습니다 ~~ 분위기가 너무 제 스타일이었고 갠찬아서 친구들한테도 소개해줬어요ㅎㅎ,1
2531,27199017,여행코스로 방문했던 카페~~~ 음료도 맛있고 분위기 인테리어도 좋고~~ 정말기억에 많이 남는 마노르블랑~&gt;_&lt; 제주도 여행중이신 분들은 꼭 한번 가보세요~~,1
2532,27199017,분위기도 좋고~ 사진찍기 정말 최적의카페! 담에 또 방문하려구요~~,1
2533,27199017,와 여기 사진찍기도 너무 좋고 제주도 놀러가서 머스트 장소!! 넘나 좋은것 ㅎㅎㅎㅎ 잘 놀다왔어요!!!,1
2534,27199017,커피 맛 최악! 헐.......,0
2535,27199017,정원과 실내 잘 꾸며놓고 사람들을 부르는 것 같은데..직원들 불친절.. 음료는 겁나 비쌈.. ,0
2536,27199017,사진 스팟은 많습니다. 음료 맛은 없어요~,1
2537,27199017,"8000원짜리 한라봉에이드에 큰 얼음이 한가득이에요...
",0
2539,27199017,"핑크뮬리는 휴애리보다는 훨씬 낫고 
사람 반 핑크뮬리 반이에요 
여름에 수국보러 왔을때가 더 좋았덩거같아요",1
2540,27199017,주말피해서 평일에 갔는데도 사람이 많았어요... 사람이많아서 사람구경하다온 느낌. 핑크뮬리는 이뻐요. 핑크뮬리만놓고 보자면 휴애리보다는 나아요,1
2541,27199017,"평일에 가도 사람많고 커피맛은 그저 그렇지만 비싸요
너무 큰 기대 ㄴㄴㄴ",0
2542,27199017,사람은 엄청 많아요 커피값이 그렇게 비싸다곤 생각 안하지만 맛은 없어요 ㅋ 광활한 핑크뮬리 기대는 ㄴㄴ 그냥 아기자기해요 밟고 들어가지 않아도 사진 찍을 수 있어요 산방산과 바다가 보이는 전망이 너무 멋져요 정원을 층층으로 꾸며놔서 날 좋으면 야외에 있어도 좋아요 카페 안에는 찻잔 컬렉션이 예쁘고 로코코 스타일의 가구로 채웠어요 ,1
2543,27199017,음료가 비싸긴한데 공원입장료라고 생각하면 괜찮은편. 커피보다는 한라봉차가 낫다. 잘꾸며놔서 돈아깝다는 생각이 안들었음. 찾아가는길이 생각보다 험난함.,1
2544,27199017,사람이 너어어어무 많아요,1
2545,27199017,핑크뮬리,1
2546,27199017,커피는 제일 싼 아메리카노 시키세요. 커피는 맛 없고 그냥 마트에서 먹는 맛이예요. 입장권 치고 커피 가격이 비싸요 스타벅스보다 비싸네요? 차라리 커피 안 먹는분들 입장권 따로 받는게 어떨지. 커피컵이 밖에 쓰레기처럼 엄청 돌아다님. 안 치울꺼면 휴지통이라도 비치해놓던지,0
2547,27199017,커피맛도 괜찮고 정원을 참 잘 꾸며놨습니다.,1
2548,27199017,2층에서 쉬었다 가기 좋아요 :) 혼자 와도 좋네요,1
2550,27199017,전망이 진짜~~모든걸 하네요~^^,1
2551,27199017,"커피는 별로...
",0
2552,27199017,미쳤다. 기가찬다. 하~ 한숨나오게 멋있다,1
2553,27199017,"너무 이뻐요..
가격은 사악하지만...
이뻐서 용서됩니당",1
2554,27199017,"이날 비가온것만 빼면 좋았을것 같아요ㅠ
에프터눈티세트는 진짜 이쁘고 차가 맛있어요! 그치만 다음에 온다면 차랑 디저트하나? 이렇게 시킬것같아요 가격이 부담되서..ㅎㅎ 날씨 좋을때 다시 와보고 싶네요:))",1
2555,27199017,공간이 너무 협소해서 불편했네요. 그리고 핑크뮬리 옆에 묘 뭐죠 ㅋㅋㅋ,0
2556,27199017,시기가 늦은건지 핑크뮬리가 색깔이 별로네요 ,0
2558,27199017,"음, 요거트 스무디  라고  주문하고 밀크쉐이크라 부른다.

",0
2559,27199017,Brunch,1
2560,27199017,핑트뮬리,1
2561,27199017,한번 정도는 가볼만한 곳 / 커피맛은 그닥,0
2563,27199017,"핑크뮬리가 없는 8월에 갓는데요 꽃둘도 많고 너무 예쁘네요 
한라봉에이드가 너무 맛잇어서...자꾸 생각이 나네요...",1
2564,27199017,"정원 100
찻잔 100
커피 30

사진 찍기 좋은 곳",1
2567,27199017,해질무렵에 가니 넘좋타,1
2569,27199017,남자들끼린 안되요.. 꼭 커플로가세요,1
2570,27199017,좋긴한데 핑크뮬리 때문에 차를 안팔아요 ㅜㅜ,1
2571,27199017,가을이 가기전에 핑크뮬리구경하세여,1
2575,27199017,여기 사진찍기 진짜 너무 좋은거 같아요!!!!!! ㅠ 강추요!!!,1
2576,27199017,분위기는 완전 최고. 인생사진 건질 수 있는 카페!,1
2577,27199017,분위기도 갬성적이고 너무 좋았네요 ㅎㅎㅎ 저보다 같이간 친구가 더 좋아해서 사진도 엄청 찍구왔어요~ 그리고 마카롱 진짜 대박!!! 맛집이에요!,1
2578,27199017,친구들과 같이 갔었는데 사진찍기에 너무좋은 곳이더라구요 ㅎㅎ  인생사진 찍었어요 추천합니다,1
2579,27199017,찾기 힘들었지만 경치 대박 / 여친 인스타 자랑용 사진 찍기는 쵝오 / 커피는 쏘쏘 / 빵두 쏘쏘,1
2580,875047975,처음 좋았어서 일부러 다시 갔는데 후무네요 다음 검색으론 안나와있었는데 헛걸음했네요..,0
2581,875047975,풍림다방 좋죠. 하지만 좁은 공간 복잡한 분위기 웨이팅.. 이 모든게 없는 곳이 이곳ㅋ 조용한 분위기에 에그타르트도 맛있고 쉬어가기 좋아요.,1
2582,875047975,비 오는 날도 잘 어울리네요. 또 가고 싶어요. ,1
2583,875047975,"분위기 아늑하고 조용해서 너무 제스탈이었어요! ^^
사장님도 친절하시구 커피도 너무 맛있습니다~~
밖에 의자에앉아 제주도를 만끽하고왔어요~",1
2584,1797528035,"좋은 카페를 고르는 기준은.. 1 맛 좋은 커피 2 맛난 베이커리 3 편안한 의자 4 좋은 음악  그리고 5 마음씨 고운 사장님이다
이 모든 것을 갖춘 조용하고 아늑한 카페",1
2585,1797528035,아주머니 친절하세요ㅜㅠㅜ 빵도 맛있구 너무행복해,1
2586,1351245165,"수플레 위에 바로 크림을 올려서인가
크림은 흐믈흐믈 녹고 수플레는 그 녹은 크림때문에 축축했어요.
먹을만했는데 가격대비 별로였습니다.",0
2587,1351245165,연유라떼 진짜 맛있어요!!! 맨날 먹고싶어요,1
2588,1351245165,"제주도 여행 마지막 장소로 왔었는데
팬케이크가 정말 너무너무 맛있었어요
그리고 사장님도 너무 친절하셨어요
다음에 제주도 오면 친구들이랑 또 올거에요",1
2589,1351245165,처음먹는 수플레인데 기대안해서그런지 폭신폭신 맛있네요. ,1
2590,1351245165,"가게가 이전한줄 모르고 곽지로 그냥갈뻔 했어욥ㅜㅜ
키나코 수플레 맛있었어요~",1
2591,1351245165,"수플레가 너무 맛있었어요
음악도 좋고 조용하게 힐링하고 갑니다^^",1
2592,1351245165,제주에 몇안되는 수플레 팬케이크집. ,1
2593,1351245165,팬케이크가 환상. 좁고 추운게 함정,1
2594,1351245165,애들 둘 데리고 아무생각없이 갔던 카페였는데.. 세상에나..먹어본 수플레팬케이크중 손에 꼽을정도에요. 가성비좋고요...,1
2595,1351245165,서쪽으루 여행하시는분들 추천카페.. 여기서 수플레팬케이크 첨먹어봤는데 맛나용~~,1
2596,1351245165,아이스크림 비싸지 않고 진해요.,1
2597,27225933,오픈운영중입니다......,1
2598,775734317,"기가막힌 장소~
카페안은 울려서 손님이 많을경우 정신없다",1
2599,775734317,"뷰도 좋고 사진도 잘 나와요 근데 당근주스는 시키지마세요 아주 건강한맛임 쿠키도 건강한맛.. 열심히 씹어야 맛이나요 
넓은데 사람 북적이지않고 한적해서 좋았어요 ",1
2600,775734317,전망도.. 커피맛도..굿~~,1
2601,775734317,"제주 바다 전망 카페 중 제일 마음에 드는 곳.
지중해풍 건물에 내부 인테리어도 멋지다. 
보석을 발견한 듯.",1
2602,775734317,일단 뷰가 끝내주네요. 커피랑 당근케익도 평타 이상. 소정방폭포까지 짱!,1
2603,775734317,좋았어요 뷰나 인테리어가 정말 멋있어요 당근쥬스 맛있음 작가의산책길따라 걷다가 소정방폭포 통해서 갔는데 재밌고 신선한 경험이었어요,1
2604,775734317,"풍경이 정말 좋아요.
통유리로 된 자리에서는 바다가 한눈에 보이고 실내도 참 예뻐요.",1
2605,775734317,"피자 주문은 3시까지
들어가는 입구가 헷갈리림
커피맛은 별룬데 뷰가 좋음",1
2606,775734317,멋들어진 뷰와 호텔 커피샵 치고는 매우 좋은 가격. 바다 풍경이라고 아메리카노 8천원 받는 뭐같은 곳 보다는 서귀포에선 차라리 여기가 낫다.,1
2607,775734317,뷰가 미쳤음!!! 커피맛도 괜찮네요~~ 이런 곳은 음료가 비싸도 아깝지 않은 곳!!,1
2608,775734317,"뷰도 좋았지만. 당근 케이크. 
와, 진짜 깜짝 놀랐어요. 
어르신들이 주로 많으셔서 그것도 놀람.
비오는 날 요동치는 바다를 지켜보는 즐거움이 있어요.",1
2609,775734317,뚜벅이라 힘들게 걸어오긴했지만 걸어온 보람이 있네요~ 경치 짱 좋아요,1
2610,775734317,최고의조경과 경관 커피는덤 당근케익도 맛있어요,1
2611,775734317,좋은곳입니다. 칼이 인수한뒤 한참동안 그냥 관리만 하더니 파라다이스호텔이였던 일부분을 카페로 오픈해서 열었습니다. 요즘은 소문이 많이 나서 사람들이 점점 많아지고 있습니다. 아침 일찍가면 샌드위치와 커피를 즐기며 조용하게 제주 바다를 감상할 수 있습니다.,1
2612,775734317,Beautiful scenery ^^,1
2613,775734317,"기분좋은 카페.
경치도 너무 이름다운 곳. ",1
2614,775734317,경치 굿!,1
2615,775734317,kal호텔에서 묵으면 무조건 가야함,1
2616,775734317,경치가 좋습니다. 주변 산책로도 멋있습니다. ,1
2619,26784906,"페퍼로니 피자, 소고기 버섯크림리조또
진짜 맛있어요!",1
2621,26784906,분위기와 커피는 훌륭하나 쉬지않고 삐삑 울리는 그 무언가 기계의 소리와 열린 공간으로 옆 자리의 대화가 싹 다 들릴 수 밖에 없는 업무를 보거나 책을 보기에는 적합하지 않은 장소...,1
2622,26784906,"동네 주택을 개조한 카페로 대형프렌차이즈에서 못느끼는 분위기와 맛을 제공합니다.
옜날 70년대 2층집 내장재를 싹 벗겨낸 거의 그대로를 인테리어로 쓰고있어요. 저희가 앉았던 2층테이블은 문짝을 떼어서 시멘트블록위에 얹었어요. 아마츄어냄새가 풀풀나고 화장실 디테일도 후지고 계단도 너무가파르지만 그래도 정겨운 가정의 느낌을 가진 카페에요.
마약옥수수 특별한 경험이었어요. 에이드 음료를 시키면 수제청에 싱하(태국)탄산수를 직접 따라서 먹게합니다. 재미있었어요",1
2623,26784906,"黑豬肉披薩相貌不揚，吃起來非常驚艷
餅皮是用千層派的口感，很酥很香，黑豬肉已經煮成肉絲在最下層，把整個味道帶出來，醬微酸甜超搭，大推！
不過建議三四個一起吃這個，吃到後面容易膩",1
2624,26784906,"아메리카나롱 마약옥수수 먹었어요
낮에 방문했는데 이층에 손님이 없었지만 올라가는 계단이 불편하고 뭔가 불안한 느낌이라서 일층에 앉았어요  주문하고 한 번 둘러보고 화장실 간다고 이층 갔는데 ㅠ 잘 넘어지는 저는 불편하게 가파른 계단이었어요. 입구로 쭉 들어가면 문 없는 방 같은 공간에 테이블 세갠가 있는데 제일 넓은 자리에 앉았어요. ",1
2625,26784906,"포트커틀릿. 블랙포크 스피니치 피자
맛나",1
2626,26784906,"단점 : 춥고 2층계단 가파르고 화장실 불편
장점 : 수제차 마약옥수수등 메뉴 많고 양호",1
2627,26784906,"음료 종류도 많고 음식도 팔아서 점심먹기에도 좋음
2층까지 있는데 계단이 가파른 느낌이라 2층은 안가봄
근데 저번에 보니 대관해서 영화 상영회도 하는듯
무튼 사람들 엄청 많지 않고 맛있어서 나는 좋음!!!
피자 짱맛! 케일주스 최고!!!!!",1
2628,26784906,"
직원들 때문에 도로 나온 곳",0
2629,26784906,Best cafe in Jeju! ☕️🍰👍,1
2630,26784906,조용하고 좋아요:-),1
2631,1983315941,"와 케익  비싸.
커피 비싸.
추워유.",0
2632,1983315941,"음료 넘 비싸요
밥값보다 더 비싸네요ㅜ
뷰는 좋은데 사람이 많아서 사람구경하러 온 것 같았어요",1
2633,1983315941,"기대에 많이 못미쳤어요.   
그냥 풍경빨.   음료맛도.  친절도.  기대이하",0
2634,1983315941,역대급으느 불친절하긴했지ㅋㅋ ,0
2635,1983315941,직원들 개 불친절. 라떼 한잔에 만원입니다~ 다른 데 가세요 ㅋ,0
2636,1983315941,시원하고 맛좋음.,1
2637,1983315941,음...뷰는 그냥 올레길 걸으세요 음료 가격도 터무니없고..실내좌석은 더 터무니없음,0
2638,1983315941,"1어른 1어린이 입장
6시 이후 no kids zone
들어가기도 싫게시리.. 입구에 써놓으셨네요",0
2639,1983315941,너무불친철해요,0
2640,1983315941,"아~~ 진짜!!... 비싸고 맛없고...
볼건 오직 바다... 제주도 어디서나 볼 수 있는!!",0
2641,1983315941,비싸고 양 적고 건질 건 바다뿐,0
2642,1983315941,정말 가격이 너어어어어아무 비싸요.. 진짜 오바로.. 바다가 앞에 있다는거 빼고 왜가는지 모를곳이네요 정말.. 단골은 없고 관광객상대로만 장사하니 비싸게 받는거겠지만 그마저도 적정선이있다는걸 알았으면하네요... 그냥 블랑로쉐가세요 거긴 그래도 이렇게 깡패가격은 아니에요ㅠㅠ,0
2643,1983315941,"1점도 아깝습니다. 베이컨치즈버거 주문한 후 조리과정 보고 식겁해서 바로 취소하고 음료만 마셨네요. 
음료가격이 비싼건 둘째치고 조리시작하기 전에 비닐장갑부터 벗고 시작하는건 무슨 조리법인지 정말 이해가 안가네요. 
맨손으로 버거빵 눌러서 칼로 자르고 팬에 옮기고, 다 구워진 빵 위에 식재료를 올리는것도 전부 맨손. 냅킨이나 행주또는 수건에 손을 닦기라도 하면 연휴기간 바쁜 상황인거 백번 이해하겠는데 그마저도 아니네요. 치즈 올리고 토치?로 치즈를 녹이고 치즈 녹은 상태를 판단하는 것도 맨손, 생양파도 맨손으로, 토마토는 상태가 안좋았는지 손으로 만지다 시각, 후각으로 확인 후 옆에 두고 다시 토마토를 얹네요. 모든 재료를 다 얹은 후 바지에 손 닦고,, 그 손 그대로 마지막 빵올리고 나무막대 꽂고 세팅할때까지 정말 일관성있게 맨손으로 조리하시네요. 환불하는데 정확한 이유를 묻지도, 사과하지도 않는 카운터 직원의 서비스에도 정말 놀라고 갑니다. 다신 오지않을 것 같네요. ",0
2644,1983315941,가성비 나쁨. 그러나 가심비가 매우 좋음.,1
2645,1983315941,뷰말고는 정말 장점이 하나도....뷰도 뭐 사실 제주에 타카페보다 특출나게 좋은것도 아니고 저는 실망이었습니다 ,0
2646,1983315941,가격실화?,0
2647,1983315941,카페라떼 9천원? 제주도에 자리세라도 떼이나? ㅋㅋㅋ,0
2648,1983315941,가성비 생각하지 말고 뷰 하나 기댜하고 갈 때 가면 되는 곳!!,1
2649,1983315941,홀로여행중 친한동생의 추천으로 함께가게된곳~인스터식품이나 군것질 안조아하는뎀 햄버거가 맛잇엇어욤~^^또 가려구 생각중입니당. 우선 뷰가 조아서 ㅋㅋ,1
2650,1983315941,음료가 상당히 비싸지만 분위기도 좋고 밤에 내려다보는 바다뷰가 환상적이에요.,1
2651,1983315941,너무 비쌈 진짜 비쌈 가성비 극악,0
2652,1983315941,"모히토 마셨는데 가격이 토계촌 삼계탕 한그릇보다 천원 더 비쌈 ㅠㅠ 뷰가 좋으니 비싼건 인정함. 근데 맛이 없어도 너무 없음. 잘못나왔나 할 정도 ㅠㅠ 
그래도 이왕 간거 그냥저냥 재밌게 놀고 오긴함. 그래서 별 두개임 ",0
2653,1983315941,뷰때문에 음식은 별로,1
2654,1983315941,"여기 제주도 음악맛집임 
리뷰 안좋다는사람들은 진맛을 모르는거 ㅋㅋ
그니깐 파티해줘요 여긴 파티해야돠",1
2655,1983315941,뷰만 이뻐여...너무 비싸고 양적고 ㅠㅠ,1
2656,1983315941,뷰 값이라고 생각하니 그렇게 비싸게 느껴지진 않았네요 너무 예쁘고 좋았어요,1
2657,1983315941,비싸지만 뷰가 최고임,1
2658,1983315941,"미친가격
프라프치노류는 우습게 1만2천원 이상
좋은 자리는 사람들 다 자고있음",0
2660,1983315941,뷰는  최곤데 커피랑 케잌이 아쉬워요,1
2661,1983315941,경치는 외돌개랑 비슷하네요,1
2662,1983315941,"바다를 원 없이 볼 수 있는 미친 뷰
음료 가격을 자리값이라고 생각하면 비싸진 않음
흔한 커피보다는 논알콜/알콜 칵테일, 에이드류 등 공수가 들어가는 음료는 시키는게 좀 더 가성비 좋고 보기에도 좋은듯... 
전형적인 인스타용 카페
제주의 바다를 실컷 보고 힙한 음악도 나와서 대만족이네요..
혹시 그날그날 데일리 플레이리스트 공유 하실 생각 없나요... 아니면 dj분 사운드클라우드 계정같은거라도..",1
2663,1983315941,"밤에 갔는데 감성 돋음.
다만 가격이 많이 쌤",1
2665,1983315941,"알바생이 손님 째려보는데 따질려다가 참음ㅋㅋ
손님 째려보면 뭐가달라지나 ㅋㅋ ",0
2666,1983315941,해 지고 왔는데 아무것도 없음 바다쪽에 빛도 없어서 칠흙 술 값은 강남보다 비싼데 베이스 술은 싸구려 ,0
2667,1983315941,뷰는 좋으나 조용하게 바다보며 커피마실 분위기는 아니네요. 겨울 아침에 조용하게 바다보려 왔는데 낮부터 클럽 같은 음악과 분위기. 다른 뷰 좋고 조용하고 평화로운 카페로 가는게 좋겠네요. 아 그리고 만원짜리 바닐라 라떼는 맥심 봉지 커피랑 맛이 비슷합니다. ,0
2669,1983315941,"제주도 왔다가 돌아가는날 방문했는데, 웨딩 행사있다며 행사관계자가 앞에서 막아 못 들어갔네요. 주말에 방문 계획하시는분은 참고하세요",0
2670,1983315941,"에이드 만이천원 
뷰는 끝내줌 
애초에 여기 오기 전에 가격 검색해서 알고 온거라 가격에 대한 불만은 전혀 없음 
주차장 좁은듯 넓음. 

둘이와서 이만사천원 
뷰값으로 낼만함 


사장 부러움... ㅠ",1
2671,1983315941,6-8월 사이에 방문할 경우 필히 밤에 방문하길 바람. 밤 분위기가 정말 끝내줌! 바다쪽으로 조명을 틀어줘서 밤에도 멋진 바위와 파도들이 보임. 멀리 보이는 오징어배 조명들도 예쁨. 가격과 메뉴의 맛은 평범하여 4점을 주려고 하였으나 저평가 받은 부분이 있어 5점줌.,1
2673,1983315941,"커피&times; 칵테일도 그냥저냥
바다뷰만 볼만하지만 나무에 가려 바다에 어떤 감성도 느낄수없었다.
노키즈존이지만 그에대한 메리트 없음

별하나준거는 고양이가 귀여워서임

직원들은 서로 장난치기 바쁘고
아이스아메리카노가 8천원이라는 가격에도 불구
맛은 그저 테이크아웃 저가커피수준..
제발 다른데가세요.",0
2674,1983315941,워후... 7-8월에는 저녁에만 가야할듯.. 잠깐 들러서 사진찍고 돌아 가세요;; 메인디제이 아니니깐 음악도 별로인데 너무 시끄럽고 밖은 뷰는 끝내주는데 사우나 그자체임. 그늘 찾아 의자 들고 계속 이동해야 함ㅋㅋㅋㅋㅋ 그래도 습함. 해비치 있다가 오니 더 비교됨. 아니 이 가격에 이더위를 먹으면서 여기 앉아있어야 하나 싶음.... 기대치가 너무 컸나봄. ,0
2675,1983315941,"분위기 깡패. 가격도 이정도면 매우 리즈너블 한 수준 (직장인 가정) 

남녀 둘이 저녁에 오면 없던 정도 생기겠네요 ㅋㅋㅋ",1
2676,1983315941,Lounge Bar &amp; Cafe,1
2678,1983315941,"감바스는 무난 (마늘빵도) 
햄버거는 나름 괜찮았다 감튀도 맛나고ㅎ 거의 2만원돈이라는게 함정ㅎㅎㅎ 에이드가 만원이 넘고 경치는 참좋지만 가격이 어마무시한게 아쉽다ㅜ",1
2679,1983315941,"뷰는 좋은데 너무 비싸요. 
이렇게 비싼 곳 오랫만임.
강남보다 더 비싼곳은 처음인듯?",0
2681,1983315941,"라떼 9천원ㅋㅋㅋㅋㅋ강남도 이렇게는 안받음
근데 9천원에 맛있으면 내가 아무말 안하지만 원두도 오래된 것 같고 맛없음 (같이 간 언니 바리스타)
두 잔이나 시켰는데 다 남겼어요
가실 분 제발 다른데 가서 맛잇는 커피 드세요...
노키즈존이래 놓고 애들 다 뛰어다님ㅋㅋㅋ
그럴거면 엄마들 기분좋게 노키즈존이라고 하질 말던지
",0
2682,1983315941,"멀리서 차로 갔다가 메뉴판 가격보고 바로 나옴. 
뷰가 좋으면 그걸로 손님이 많이와서 좋은거지 아메리카노가 8천원인건 진짜 인간적으로 너무하지 않나. 무슨 땅값집값권리금을 손님한테 받을려고해. 
중문 화순 대평리가면 더 이쁜 바다가 널렸는데 뭔 자기네만 바다가 있는줄아나. 
청담동에서도 못본 커피값 진짜 너무 심함",0
2683,1983315941,분위기. 뷰. 음악 다 좋으나 가격이 높음. 별세개,1
2684,1983315941,제주도 오면 꼭 들를라구욤 강추!,1
2685,1983315941,모던 라운지 바의 모든 것을 갖춘 곳. 아 경치하나 더갖췄구나,1
2686,1983315941,"굿굿..말이 필요없다
흡사 외국에 있는듯한 분위기
통새우버거,하몽, 먹을만 함",1
2687,1983315941,"하몽 멜론
쉬프림버거
청포도.한라봉",1
2690,1983315941,오질나게 비싸서 욕나올뻔 가격이 모두다 2배다. ,0
2692,1983315941,바다 앞 카페,1
2694,1983315941,조망이 열일함... ,1
2696,1983315941,바다전망과 여유로운 분위기 정말 최고입니다.,1
2697,1983315941,"분위기 좋다~ 그래서 사람이 많은...
2층도 있어서 전망도 짱~ 
칵테일도 맛있고~ 살짝 눈감으면~ 상쾌한 바람에 기분 업! ",1
2698,1983315941,뷰가 최고 살짝 비싼 감이 있으나 뷰로 인해 또 오고 싶음 ㅋㅋㅋ,1
2699,1983315941,"분위기깡패
핵존맛 수제버거 
초초강추",1
2701,1983315941,위치와 뷰는 좋지만 커피숍이 아닌 바 라서 메뉴가 한정되있어요. 밤에 가면 더 좋을거같아요.,1
2702,1983315941,"해안절벽에 위치한 카페로 일몰이 예술이다. 밖에 자리마다 난로를 설치해주니 추위에 대한 걱정은 안해도될것 같다. 

실내는 하우스클럽 분위기가 난다. 실제 디제이가 디제잉을 진행한다. 

다만 커피값이 비싼편이지만, 뷰에 비하면 아깝지 않은 가격. ",1
2703,1983315941,"가격은 비싸지만 경치가 아름답고 자리가 편해서 지불한 돈이 아깝지 않았어요.
음료도 맛있었습니다.",1
